pH,k_leak,ngam_base,ngam_extra,ngam_total,pH_cytosol,pump_cost_kJ_per_mol,mu
6.75,0.05,0.7,3.891397050194614e-06,0.7000038913970501,7.0,18.851921522825,0.02552896129853355
7.0,0.05,0.7,0.0,0.7,7.0,17.3673,0.025528991367617358
7.25,0.05,0.7,-2.188293374048255e-06,0.6999978117066259,7.0,15.882678477174998,0.025529008276704995
7.5,0.05,0.7,-3.4188611699158104e-06,0.69999658113883,7.0,14.398056954349999,0.025529017785384238
1.5,0.1,0.7,3.1622675471932906,3.862267547193291,6.995121062556256,50.0,0.0
1.75,0.1,0.7,1.7782694100389231,2.478269410038923,7.0,48.54435197932499,0.011180498665279622
2.0,0.1,0.7,0.99999,1.6999900000000001,7.0,47.05973045649999,0.01780200214365183
2.25,0.1,0.7,0.562331325190349,1.262331325190349,7.0,45.575108933675004,0.0211838198258576
2.5,0.1,0.7,0.316217766016838,1.0162177660168379,7.0,44.090487410849995,0.023085555662821677
2.75,0.1,0.7,0.17781794100389228,0.8778179410038922,7.0,42.605865888025,0.024154980313541546
3.0,0.1,0.7,0.09999,0.79999,7.0,41.12124436519999,0.0247563619888191
3.25,0.1,0.7,0.05622413251903492,0.7562241325190349,7.0,39.636622842375,0.025094543757039314
3.5,0.1,0.7,0.031612776601683795,0.7316127766016838,7.0,38.152001319549996,0.02528471734073573
3.75,0.1,0.7,0.017772794100389226,0.7177727941003892,7.0,36.667379796725,0.02539165980581369
4.0,0.1,0.7,0.00999,0.70999,7.0,35.18275827389999,0.0254517979733355
4.25,0.1,0.7,0.0056134132519034905,0.7056134132519034,7.0,33.698136751075,0.025485616150157514
4.5,0.1,0.7,0.0031522776601683794,0.7031522776601683,7.0,32.213515228249996,0.02550463350852682
4.75,0.1,0.7,0.001768279410038923,0.7017682794100388,7.0,30.728893705424998,0.025515327755034584
5.0,0.1,0.7,0.00099,0.70099,7.0,29.2442721826,0.025521341571786944
5.25,0.1,0.7,0.0005523413251903492,0.7005523413251903,7.0,27.759650659774998,0.02552472338946969
5.5,0.1,0.7,0.00030622776601683797,0.7003062277660168,7.0,26.275029136949996,0.025526625125306446
5.75,0.1,0.7,0.00016782794100389232,0.7001678279410039,7.0,24.790407614124998,0.02552769431325194
6.0,0.1,0.7,8.999999999999999e-05,0.70009,7.0,23.305786091299996,0.02552829569492151
6.25,0.1,0.7,4.623413251903491e-05,0.700046234132519,7.0,21.821164568474998,0.025528633876686534
6.5,0.1,0.7,2.1622776601683796e-05,0.7000216227766016,7.0,20.33654304565,0.025528824050269194
6.75,0.1,0.7,7.782794100389228e-06,0.7000077827941004,7.0,18.851921522825,0.025528931229449266
7.0,0.1,0.7,0.0,0.7,7.0,17.3673,0.025528991367617045
7.25,0.1,0.7,-4.37658674809651e-06,0.6999956234132518,7.0,15.882678477174998,0.025529025185794117
7.5,0.1,0.7,-6.837722339831621e-06,0.6999931622776602,7.0,14.398056954349999,0.025529044203151944
1.5,0.2,0.7,6.324535094386581,7.024535094386581,6.995121062556256,50.0,0.0
1.75,0.2,0.7,3.5565388200778463,4.2565388200778465,7.0,48.54435197932499,0.0
2.0,0.2,0.7,1.99998,2.69998,7.0,47.05973045649999,0.008943815173505652
2.25,0.2,0.7,1.124662650380698,1.824662650380698,7.0,45.575108933675004,0.016838648284098708
2.5,0.2,0.7,0.632435532033676,1.332435532033676,7.0,44.090487410849995,0.02064211995802727
2.75,0.2,0.7,0.35563588200778457,1.0556358820077845,7.0,42.605865888025,0.02278096925946627
3.0,0.2,0.7,0.19998,0.89998,7.0,41.12124436519999,0.023983732610020975
3.25,0.2,0.7,0.11244826503806984,0.8124482650380698,7.0,39.636622842375,0.0246600961464623
3.5,0.2,0.7,0.06322555320336759,0.7632255532033676,7.0,38.152001319549996,0.025040443312539323
3.75,0.2,0.7,0.03554558820077845,0.7355455882007784,7.0,36.667379796725,0.025254328009828242
4.0,0.2,0.7,0.01998,0.71998,7.0,35.18275827389999,0.025374604343768405
4.25,0.2,0.7,0.011226826503806981,0.711226826503807,7.0,33.698136751075,0.025442240696785263
4.5,0.2,0.7,0.006304555320336759,0.7063045553203368,7.0,32.213515228249996,0.025480275413172094
4.75,0.2,0.7,0.003536558820077846,0.7035365588200778,7.0,30.728893705424998,0.025501664142452113
5.0,0.2,0.7,0.00198,0.7019799999999999,7.0,29.2442721826,0.025513691775957324
