observed,predicted,sd
0.206363693040378,0.22219038958636758,0.033192938851889606
0.1822388280620539,0.16507317882208455,0.007980289192518874
0.0676482521745439,0.06711656736422685,0.006992715857499538
0.0099593726552371,0.014406939158799228,0.005639652328611665
0.0778336604125075,0.07967924805337559,0.007279397475650032
0.3865649980682218,0.38571462626203895,0.003965997146246556
0.1612059720264795,0.16548488607087036,0.0033483606037656897
0.1688022488879614,0.16912760496043583,0.0056439958958911275
0.2597783237212356,0.26032398247900523,0.005778729074775209
0.3120759836702715,0.297080448578216,0.011353958560208875
0.1948229094021958,0.19740794260103178,0.007770468646147294
0.1890046800816508,0.19028334643264294,0.004509733978415718
0.2863458541555479,0.2849779850825459,0.004594911494034122
0.0735577100156002,0.06622485830487226,0.0031992363368698504
0.370920216425401,0.3745719337190302,0.008167319924375598
0.2855639874541494,0.2817040028250045,0.009188499726575022
0.1382889190369746,0.145444236027887,0.006765745602358327
0.1397103751904373,0.14157886190625946,0.0031652054809034385
0.2233607056975993,0.22013418724755224,0.004205236448164981
0.3294907485196509,0.3277055061587235,0.004911070968719662
0.287032824940953,0.2877701880534785,0.0037947224708953973
0.1985369911825174,0.19236850204941044,0.0033037216829875926
0.1496585262087933,0.1526599145993362,0.0019778509631934466
0.3795096734539533,0.3797576608572767,0.002867363304193104
0.2262226266667454,0.2284144583048481,0.0051281158141767355
0.0543874895630224,0.04788431368180991,0.00764509025345396
0.3302442199821805,0.3277605950639631,0.004502397040429793
0.3020077442320423,0.3078952145577126,0.0028476862521496756
0.3041022647281461,0.30307884471862956,0.004558154966996064
0.2688744712310031,0.27603065105455743,0.0029741202777711084
0.1008606926275327,0.10648656192620158,0.00266507100054193
0.1866111672569693,0.19292110215564864,0.009311336319672344
0.2323123521964217,0.2272209152612869,0.00740671466574544
0.2056478964639663,0.2037236129956766,0.0051431952449726885
0.2285096008021704,0.2287725723573219,0.0036091552331337694
0.0210959887314002,0.029344626702777533,0.006424578347779009
0.1624119983038928,0.16524704350647806,0.008507733575718934
0.0795863100575617,0.0731827954927808,0.006475096994343384
0.4473292893853685,0.44939919682109475,0.006763398086885536
0.0644181374415296,0.0552877458236251,0.0031392705401470894
0.2395114042069552,0.2402437588348109,0.009175515868431641
0.184743789680658,0.18528078501118564,0.0034893967371357193
0.4314891783938281,0.4277400216805359,0.004799442137416386
0.281154487280942,0.2774318720321819,0.0057851174458530405
0.324865729560784,0.3266013346313256,0.004386971212528275
0.3581814763786731,0.35830209775737715,0.0026811628149137623
0.1212299755743235,0.12299656216298319,0.004012626850740942
0.1155649988018235,0.1142896106881947,0.004843873552101431
0.2924261196351705,0.29622840957181795,0.004217766927675003
0.4182105407541389,0.41722990745731303,0.0035216581548630343
0.1920255987146721,0.1923628476517912,0.0037000690647077347
0.2190544991980426,0.21456627079745577,0.009229839550384927
0.3262432410698841,0.32599807279181553,0.006395117388690603
0.2279913462355998,0.228783538860663,0.005773124045804441
0.108945111866577,0.1159732106741054,0.0025622619425105003
0.1441244087658058,0.14065457471033593,0.004922365292816574
0.0359834619838586,0.04103080347395401,0.005612933848194927
0.0674983199389609,0.0750166328691648,0.005649083411587375
0.2150301780881428,0.20375937327684196,0.007678624421515307
0.2732077577914353,0.27347909790656666,0.004621327329117762
0.1974280801730789,0.19299529081492947,0.016150327985136485
0.2222624934993557,0.21982226573207714,0.005692634766267916
0.1610649884005933,0.16175873879903496,0.005005142120390285
0.1630886172141352,0.16688793815768097,0.004019370395887775
0.1753444348594395,0.1706050227207963,0.00527699319390894
0.3846669829389705,0.3839221127964402,0.003746997626288416
0.2579168413654332,0.2603429171317967,0.004663969946009013
