gene,growth,ratio,classification,model,wt_growth
YBR294W,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YBR295W,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YBR296C,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YBR298C,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YBR299W,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YCL004W,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YCL005W-A,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YCL009C,0.08404223716580812,0.9999995614953592,neutral,CNCM_I745,0.084042
YCL018W,0.0,0.0,essential,CNCM_I745,0.084042
YCL025C,0.08404223275702508,0.9999995090362473,neutral,CNCM_I745,0.084042
YCL030C,0.0,0.0,essential,CNCM_I745,0.084042
YCL035C,0.08404223275702516,0.9999995090362483,neutral,CNCM_I745,0.084042
YCL038C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCL040W,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCL047C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCL050C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCL052C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCL064C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCL069W,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCR005C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCR010C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCR011C,0.0840422327570249,0.9999995090362452,neutral,CNCM_I745,0.084042
YCR012W,0.054665044572923045,0.6504469948152132,neutral,CNCM_I745,0.084042
YCR024C,0.0840422558183605,0.9999997834378589,neutral,CNCM_I745,0.084042
YCR024C-A,0.08404225581836042,0.9999997834378579,neutral,CNCM_I745,0.084042
YCR028C,0.08404225581836042,0.9999997834378579,neutral,CNCM_I745,0.084042
