contrast,reaction,name,mean_diff,cohens_d,p,p_adj
ileum_vs_colon,r_0211,asparagine synthase (glutamine-hydrolysing),0.007276,1.4509,1.4022261197549714e-10,4.957008902130816e-10
ileum_vs_colon,r_0212,Asparaginyl-tRNA synthetase,0.007276,1.4509,1.4022261197549714e-10,4.957008902130816e-10
ileum_vs_colon,r_0213,"asparaginyl-tRNA synthetase, miotchondrial",0.0,0.0,,
ileum_vs_colon,r_0214,aspartate carbamoyltransferase,0.004076,1.4509,1.4022261197548996e-10,4.957008902130816e-10
ileum_vs_colon,r_0215,aspartate kinase,0.007668,0.8259,4.0701753687539525e-05,0.00011935100705368832
ileum_vs_colon,r_0216,aspartate transaminase,-0.04467,-1.2841,4.398471047207172e-09,1.429503090342331e-08
ileum_vs_colon,r_0217,aspartate transaminase,0.0,0.0,,
ileum_vs_colon,r_0218,aspartate transaminase,0.0,0.4336,0.023100754484727547,0.0602484556072362
ileum_vs_colon,r_0219,aspartate-semialdehyde dehydrogenase,0.007668,0.8259,4.0701753687539864e-05,0.00011935100705368832
ileum_vs_colon,r_0220,Aspartyl-tRNA synthetase,0.009134,1.4509,1.4022261197549533e-10,4.957008902130816e-10
ileum_vs_colon,r_0221,Aspartyl-tRNA synthetase,0.0,0.0,,
ileum_vs_colon,r_0222,ATP adenylyltransferase,0.0,0.0,,
ileum_vs_colon,r_0223,ATP adenylyltransferase,0.0,0.0,,
ileum_vs_colon,r_0224,ATP adenylyltransferase,0.0,0.0,,
ileum_vs_colon,r_0225,ATP phosphoribosyltransferase,0.003176,1.4509,1.4022261197549502e-10,4.957008902130816e-10
ileum_vs_colon,r_0226,ATP synthase,2.643965,1.2397,1.1008425441535582e-08,3.562892881492844e-08
ileum_vs_colon,r_0227,"ATPase, plasma membrane",0.20756,1.2034,2.3209682510152762e-08,7.419488671278342e-08
ileum_vs_colon,r_0228,"beta-1,4 mannosyltransferase",0.0,0.0,,
ileum_vs_colon,r_0229,biotin synthase,0.0,0.0,,
ileum_vs_colon,r_0230,biotin-[acetyl-CoA-carboxylase] ligase,0.0,0.0,,
ileum_vs_colon,r_0231,C-14 sterol reductase,0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
ileum_vs_colon,r_0233,C-22 sterol desaturase (NADP),0.001354,1.4908,6.174591683302269e-11,4.957008902130816e-10
ileum_vs_colon,r_0234,C-3 sterol dehydrogenase,0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
