gene,growth,ratio,classification,model,wt_growth
YDL015C,0.0840422327570241,0.9999998668344809,neutral,Yeast9_base,0.084042
YDL022W,0.08404223275702506,0.9999998668344924,neutral,Yeast9_base,0.084042
YDL024C,0.08404222427859676,0.9999997659515565,neutral,Yeast9_base,0.084042
YDL040C,0.08404223275702513,0.9999998668344932,neutral,Yeast9_base,0.084042
YDL042C,0.08404223275702506,0.9999998668344924,neutral,Yeast9_base,0.084042
YDL045C,0.0,0.0,essential,Yeast9_base,0.084042
YDL052C,0.0840422327570241,0.9999998668344809,neutral,Yeast9_base,0.084042
YDL055C,0.0,0.0,essential,Yeast9_base,0.084042
YDL066W,0.08377102767300837,0.9967728577581675,neutral,Yeast9_base,0.084042
YDL067C,0.020734920417025512,0.24672021405947336,growth_reduced,Yeast9_base,0.084042
YDL078C,0.08404225581836042,1.0000001412362012,neutral,Yeast9_base,0.084042
YDL080C,0.08404225581836142,1.0000001412362132,neutral,Yeast9_base,0.084042
YDL085W,0.08404225581836142,1.0000001412362132,neutral,Yeast9_base,0.084042
YDL090C,0.08404225581836142,1.0000001412362132,neutral,Yeast9_base,0.084042
YDL093W,0.08404225581836142,1.0000001412362132,neutral,Yeast9_base,0.084042
YDL095W,0.08404225581836142,1.0000001412362132,neutral,Yeast9_base,0.084042
YDL100C,0.08404223790060729,0.9999999280368352,neutral,Yeast9_base,0.084042
YDL103C,0.0,0.0,essential,Yeast9_base,0.084042
YDL120W,0.08404225581836038,1.0000001412362007,neutral,Yeast9_base,0.084042
YDL131W,0.08404225581836001,1.0000001412361965,neutral,Yeast9_base,0.084042
YDL141W,0.0,0.0,essential,Yeast9_base,0.084042
YDL142C,0.08404225581836054,1.0000001412362027,neutral,Yeast9_base,0.084042
YDL166C,0.08403716906593924,0.9999396150986043,neutral,Yeast9_base,0.084042
YDL168W,0.08404225581836085,1.0000001412362063,neutral,Yeast9_base,0.084042
YDL171C,0.08404225581836045,1.0000001412362016,neutral,Yeast9_base,0.084042
YDL174C,0.08404225581836045,1.0000001412362016,neutral,Yeast9_base,0.084042
YDL178W,0.08404225581836045,1.0000001412362016,neutral,Yeast9_base,0.084042
YDL182W,0.08404225581836045,1.0000001412362016,neutral,Yeast9_base,0.084042
YDL185W,0.08404225581836045,1.0000001412362016,neutral,Yeast9_base,0.084042
YDL198C,0.08404225581836045,1.0000001412362016,neutral,Yeast9_base,0.084042
YDL205C,0.0,0.0,essential,Yeast9_base,0.084042
YDL210W,0.08404223275702515,0.9999998668344934,neutral,Yeast9_base,0.084042
YDL215C,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDL219W,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
