zone,systematic_id,log2_ratio,sd_log2,n_samples
duodenum,YBL101C,1.1262,0.4836,4
duodenum,YBL101W-A,0.5985,0.3263,4
duodenum,YBL101W-B,-0.034,0.1341,4
duodenum,YBL102W,0.8003,0.2496,4
duodenum,YBL103C,0.1562,0.1787,4
duodenum,YBL104C,-0.4445,0.1116,4
duodenum,YBL105C,0.0,0.1233,4
duodenum,YBL106C,-0.4935,0.1,4
duodenum,YBL107C,0.1028,0.3411,4
duodenum,YBL108W,-0.8117,0.3081,4
duodenum,YBL109W,0.0927,0.1191,4
duodenum,YBL110C,-0.2045,0.1498,4
duodenum,YBL111C,0.3277,0.2539,4
duodenum,YBL112C,0.2568,0.3122,4
duodenum,YBL113C,0.4768,0.1808,4
duodenum,YBR001C,1.877,0.324,4
duodenum,YBR002C,-0.4017,0.1015,4
duodenum,YBR003W,-1.234,1.3527,4
duodenum,YBR004C,-0.2185,0.1599,4
duodenum,YBR005W,0.694,0.2349,4
duodenum,YBR006W,2.3115,0.5167,4
duodenum,YBR007C,0.0843,0.3981,4
duodenum,YBR008C,-0.237,0.1659,4
duodenum,YBR009C,-0.7628,0.1842,4
duodenum,YBR010W,-0.3973,0.2473,4
duodenum,YBR011C,0.299,0.4449,4
duodenum,YBR012C,0.1795,0.5382,4
duodenum,YBR012W-A,0.6187,0.8603,4
duodenum,YBR012W-B,0.325,0.2383,4
duodenum,YBR013C,-0.0405,0.2783,4
duodenum,YBR014C,0.8877,0.1,4
duodenum,YBR015C,-0.2435,0.1287,4
duodenum,YBR016W,0.3922,0.1322,4
duodenum,YBR017C,-0.3545,0.1639,4
duodenum,YBR018C,0.8113,0.2159,4
duodenum,YBR019C,0.2815,0.2669,4
duodenum,YBR020W,-0.1355,0.2821,4
duodenum,YBR021W,-1.1955,0.6978,4
duodenum,YBR022W,0.5292,0.2278,4
duodenum,YBR023C,-0.4095,0.2574,4
duodenum,YBR024W,0.8205,0.2436,4
duodenum,YBR025C,-0.1847,0.2116,4
duodenum,YBR026C,2.278,0.4613,4
duodenum,YBR027C,-0.5895,0.5286,4
duodenum,YBR028C,-0.3915,0.3076,4
duodenum,YBR029C,-0.1613,0.2096,4
duodenum,YBR030W,-0.9517,0.3355,4
duodenum,YBR031W,-1.8723,0.7563,4
duodenum,YBR032W,-0.543,0.1875,4
duodenum,YBR033W,-0.3283,0.1413,4
duodenum,YBR034C,-2.4888,1.0282,4
duodenum,YBR035C,1.0703,0.1948,4
duodenum,YBR036C,0.83,0.1399,4
duodenum,YBR037C,0.792,0.2632,4
duodenum,YBR038W,-0.4585,0.1703,4
duodenum,YBR039W,0.699,0.1,4
duodenum,YBR040W,-0.551,0.1946,4
duodenum,YBR041W,-0.289,0.165,4
duodenum,YBR042C,0.0062,0.1269,4
duodenum,YBR043C,-0.2632,0.1,4
duodenum,YBR044C,0.4902,0.3433,4
duodenum,YBR045C,-0.587,0.2693,4
duodenum,YBR046C,1.9877,0.6269,4
duodenum,YBR047W,0.057,0.5923,4
duodenum,YBR048W,-2.0534,0.9736,4
duodenum,YBR049C,-0.0615,0.1029,4
duodenum,YBR050C,0.1383,0.1853,4
duodenum,YBR051W,-0.1693,0.4068,4
duodenum,YBR052C,2.4308,0.4125,4
duodenum,YBR053C,2.8277,0.5591,4
duodenum,YBR054W,2.7963,0.7209,4
duodenum,YBR055C,-0.1522,0.1146,4
duodenum,YBR056W,2.6928,0.4962,4
duodenum,YBR057C,0.0418,0.1,4
duodenum,YBR058C,0.2981,0.1597,4
duodenum,YBR059C,1.1587,0.4628,4
duodenum,YBR060C,-0.2393,0.2863,4
duodenum,YBR061C,-1.318,0.3918,4
duodenum,YBR062C,1.0082,0.2242,4
duodenum,YBR063C,0.362,0.2044,4
duodenum,YBR064W,0.2505,0.1,4
duodenum,YBR065C,0.4955,0.2552,4
duodenum,YBR066C,0.517,0.4255,4
duodenum,YBR067C,0.9858,0.6127,4
duodenum,YBR068C,0.665,0.3356,4
duodenum,YBR069C,-1.516,0.4262,4
duodenum,YBR070C,-0.1183,0.2962,4
duodenum,YBR071W,0.251,0.1,4
duodenum,YBR072W,3.1852,0.4818,4
duodenum,YBR073W,-0.5393,0.295,4
duodenum,YBR074W,-0.2933,0.1576,4
duodenum,YBR075W,-0.2333,0.1007,4
duodenum,YBR076W,0.182,0.1,4
duodenum,YBR077C,0.3785,0.1,4
duodenum,YBR078W,-0.489,0.2373,4
duodenum,YBR079C,-1.5682,0.7956,4
duodenum,YBR080C,0.4705,0.1156,4
duodenum,YBR081C,-0.1957,0.1,4
duodenum,YBR082C,1.4278,0.3851,4
duodenum,YBR083W,0.827,0.3463,4
